Depicted Year,Actual Production Year (Book/ Film),Film Title,Author/ Director,Depicted Location,Actual Production Location,Running Time Duration (min),Frames per second,MACHINES // ROBOTS// TECHNOLOGY ? ,MACHINE THEMES,Wiki Reference Links,Additional Reference Links (machines/ai tech),,24 frame/ sec
1980's,1979,MAD MAX,George Miller ,"Melbourne, Australia","Melbourne, Australia",93,133920,"GigaHorse, War Rig Vehicles (mobility/ weaponized), Automobiles, fuel scarcity, weaponized vehicles","Vehicle AI, Technology symbolizes societal collapse; machines become extensions of violence and survival instinct.",https://en.wikipedia.org/wiki/Mad_Max,https://www.mpaa.org/2015/05/heres-how-they-built-the-beastly-machines-for-mad-max-fury-road/,,fps
1982,1982,TRON,Steven Lisberger,Vancouver?,Vancouver,96,138240,"computerized world - human vs machine, Virtual world, computer programs as beings","ai bits - ai game interfaace, Explores human–machine convergence and digital consciousness inside a computer system.",https://en.wikipedia.org/wiki/Tron,,,
1984,1949,1984,George Orwell/ Michael Radford ,"Oceania (Americas, Britisth Isles, Greenland, Australia, Polynesia, South Africa, etc)",United Kingdom ,110,158400,"Cameras, Telescreens  - Winston's Workstation, voice recognition - ""memory hole""  -helicopters, Surveillance screens, information control
","Surveillance AI, Technology enforces totalitarian power and erases privacy and truth.
",https://en.wikipedia.org/wiki/Nineteen_Eighty-Four_(1984_film),https://www.wired.com/2008/02/does-the-techno/,,
2020,1989 / 2005,V FOR VENDETTA,Alan Moore / James McTeigue,United States/ United Kingdom,United Kingdom / United States / Germany,132,190080,"Facial recognition - scanning, Surveillance systems, propaganda broadcasting
","Surveillance AI - Communications AI, Technology amplifies authoritarian control but also enables rebellion through media hijacking.
",https://en.wikipedia.org/wiki/V_for_Vendetta_(film),https://mashable.com/2017/09/11/facial-recognition-masks-protesters/,,
1999,1953 / 2018,FAHRENHEIT 451,Ray Bradbury / Ramin Bahrani,"Cleveland, Ohio / American Midwest",United States,101,145440,"Parlor Walls, (large screens)  - Mechanical Hound (dangerous)  -Fast Subway (advertisement) -Self-buttering toaster (task dependency) -Beetle Cars (violet/ fast driving) -stomach pumping machines (depression, overdose, operators), Media walls, drones, information censorship
","Technological corruption - Tasks AI, Depicts how technology replaces authentic human experience and suppresses dissent.
",https://en.wikipedia.org/wiki/Fahrenheit_451_(2018_film),https://infograph.venngage.com/p/82338/technology-in-fahrenheit-451-by-ray-bradbury,,
2001,1968,2001: A SPACE ODYSSEY,Stanley Kubrick,African Desert / Solar System,England,142,204480,"Robots - AI (HAL 9000), HAL 9000 AI system, space tech
","Space AI, Raises questions about AI autonomy and human obsolescence through HAL’s rebellion.
",https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film),,,
2017,1982 / 1987,THE RUNNING MAN,Stephen King / Paul Michael Glaser,"Bakersfield, CA / United States",United States,101,145440,"Social Media - Television -Infonet, Broadcast entertainment, media manipulation
","fake news, Television and tech-driven spectacle are used to distract and control the masses.
",https://en.wikipedia.org/wiki/The_Running_Man_(1987_film),http://www.bbc.com/future/story/20170105-why-we-may-be-living-in-the-future-of-the-running-man,,
2019,1988,AKIRA,Katsuhiro Otomo+ Izo Hashimoto,Neo-Tokyo,Japan,124,178560,"A-Bomb - motorcycle, Biotech mutation, government experimentation
","Weapons -post nuclear sublime, Postwar tech and psychic experiments lead to uncontrollable destruction and loss of humanity.
",https://en.wikipedia.org/wiki/Akira_(1988_film),https://the-artifice.com/akira-analysis/,,
2019,1982,BLADE RUNNER,Hampton Fancher + David Peoples / Ridley Scott,Los Angeles,United states/ Hong Kong,117,168480,"robots -replicants/ artifical humans as slave labor (zhora) -flying cars  -video phones - voice commands - teleportation? off world travel -mood organ ""deep brain stimulation) Thinc, 
Artificial humans (replicants), memory implants
 ","AI -Robots, Explores blurred boundaries between human and machine consciousness.
",https://en.wikipedia.org/wiki/Blade_Runner,https://www.cnet.com/news/original-blade-runner-vs-todays-tech-is-that-future-of-2019-here/,,
2019,2005,THE ISLAND,Michael Bay,"Arizona Desert, Los Angeles, New York City","Rhyolite, Nevada / Coachella Valley/ Detroit",136,195840,"Medical rooms (LED display/ sleep monitor) -tracksuit monitor/ bracelet, Cloning, organ harvesting, biotech corporatism
","medical Ai? -scanners, Depicts ethics of human manufacturing and the illusion of utopian control.
",https://en.wikipedia.org/wiki/The_Island_(2005_film),,,
